,Start,End
0,2018-08-16 15:57:50.112932,2018-08-16 15:57:50.130565
1,2018-08-16 15:57:50.177425,2018-08-16 15:57:50.223886
2,2018-08-16 15:57:50.269916,2018-08-16 15:57:50.321954
3,2018-08-16 15:57:50.374992,2018-08-16 15:57:50.426028
4,2018-08-16 15:57:50.476565,2018-08-16 15:57:50.526098
5,2018-08-16 15:57:50.580137,2018-08-16 15:57:50.630674
6,2018-08-16 15:57:50.683710,2018-08-16 15:57:50.736248
7,2018-08-16 15:57:50.786283,2018-08-16 15:57:50.839822
8,2018-08-16 15:57:50.888355,2018-08-16 15:57:50.937391
9,2018-08-16 15:57:50.987926,2018-08-16 15:57:51.036461
10,2018-08-16 15:57:51.085025,2018-08-16 15:57:51.133090
11,2018-08-16 15:57:51.178669,2018-08-16 15:57:51.224448
12,2018-08-16 15:57:51.271188,2018-08-16 15:57:51.320245
13,2018-08-16 15:57:51.365854,2018-08-16 15:57:51.409765
14,2018-08-16 15:57:51.456899,2018-08-16 15:57:51.501726
15,2018-08-16 15:57:51.545347,2018-08-16 15:57:51.593928
16,2018-08-16 15:57:51.640409,2018-08-16 15:57:51.685957
17,2018-08-16 15:57:51.730772,2018-08-16 15:57:51.778499
18,2018-08-16 15:57:51.826581,2018-08-16 15:57:51.870698
19,2018-08-16 15:57:51.916737,2018-08-16 15:57:51.963903
20,2018-08-16 15:57:52.009469,2018-08-16 15:57:52.058503
21,2018-08-16 15:57:52.108149,2018-08-16 15:57:52.138652
22,2018-08-16 15:57:53.483115,2018-08-16 15:57:53.500632
23,2018-08-16 15:57:53.543570,2018-08-16 15:57:53.590119
24,2018-08-16 15:57:53.638824,2018-08-16 15:57:53.684910
25,2018-08-16 15:57:53.730999,2018-08-16 15:57:53.779625
26,2018-08-16 15:57:53.830545,2018-08-16 15:57:53.879158
27,2018-08-16 15:57:53.926214,2018-08-16 15:57:53.973804
28,2018-08-16 15:57:54.019035,2018-08-16 15:57:54.067073
29,2018-08-16 15:57:54.118153,2018-08-16 15:57:54.165306
30,2018-08-16 15:57:54.211457,2018-08-16 15:57:54.261273
31,2018-08-16 15:57:54.308520,2018-08-16 15:57:54.356617
32,2018-08-16 15:57:54.401311,2018-08-16 15:57:54.447890
33,2018-08-16 15:57:54.493858,2018-08-16 15:57:54.543468
34,2018-08-16 15:57:54.593086,2018-08-16 15:57:54.642633
35,2018-08-16 15:57:54.689552,2018-08-16 15:57:54.737153
36,2018-08-16 15:57:54.785711,2018-08-16 15:57:54.834271
37,2018-08-16 15:57:54.880852,2018-08-16 15:57:54.928427
38,2018-08-16 15:57:54.976004,2018-08-16 15:57:55.022744
39,2018-08-16 15:57:55.074730,2018-08-16 15:57:55.121821
40,2018-08-16 15:57:55.167918,2018-08-16 15:57:55.216988
41,2018-08-16 15:57:55.263785,2018-08-16 15:57:55.313237
42,2018-08-16 15:57:55.361283,2018-08-16 15:57:55.412840
43,2018-08-16 15:57:55.458359,2018-08-16 15:57:55.505045
44,2018-08-16 15:57:55.551676,2018-08-16 15:57:55.582211
45,2018-08-16 15:57:57.140026,2018-08-16 15:57:57.157063
46,2018-08-16 15:57:57.207132,2018-08-16 15:57:57.256231
47,2018-08-16 15:57:57.303339,2018-08-16 15:57:57.350957
48,2018-08-16 15:57:57.395560,2018-08-16 15:57:57.442601
49,2018-08-16 15:57:57.489281,2018-08-16 15:57:57.535784
50,2018-08-16 15:57:57.582980,2018-08-16 15:57:57.630595
51,2018-08-16 15:57:57.677236,2018-08-16 15:57:57.724992
52,2018-08-16 15:57:57.770566,2018-08-16 15:57:57.821658
53,2018-08-16 15:57:57.867268,2018-08-16 15:57:57.913360
54,2018-08-16 15:57:57.958494,2018-08-16 15:57:58.003081
55,2018-08-16 15:57:58.048170,2018-08-16 15:57:58.096926
56,2018-08-16 15:57:58.143026,2018-08-16 15:57:58.190574
57,2018-08-16 15:57:58.238127,2018-08-16 15:57:58.283655
58,2018-08-16 15:57:58.331247,2018-08-16 15:57:58.378854
59,2018-08-16 15:57:58.425919,2018-08-16 15:57:58.473409
60,2018-08-16 15:57:58.521196,2018-08-16 15:57:58.569794
61,2018-08-16 15:57:58.619034,2018-08-16 15:57:58.665666
62,2018-08-16 15:57:58.715228,2018-08-16 15:57:58.761545
63,2018-08-16 15:57:58.809081,2018-08-16 15:57:58.858531
64,2018-08-16 15:57:58.908136,2018-08-16 15:57:58.954677
65,2018-08-16 15:57:59.002527,2018-08-16 15:57:59.049815
66,2018-08-16 15:57:59.096923,2018-08-16 15:57:59.143593
67,2018-08-16 15:57:59.192171,2018-08-16 15:57:59.241050
68,2018-08-16 15:57:59.291688,2018-08-16 15:57:59.340243
69,2018-08-16 15:57:59.392822,2018-08-16 15:57:59.441293
70,2018-08-16 15:57:59.488843,2018-08-16 15:57:59.535422
71,2018-08-16 15:57:59.583896,2018-08-16 15:57:59.631947
72,2018-08-16 15:57:59.678201,2018-08-16 15:57:59.725791
73,2018-08-16 15:57:59.774018,2018-08-16 15:57:59.824181
74,2018-08-16 15:57:59.870899,2018-08-16 15:57:59.919989
75,2018-08-16 15:57:59.967480,2018-08-16 15:58:00.012515
76,2018-08-16 15:58:00.064097,2018-08-16 15:58:00.112068
77,2018-08-16 15:58:00.158615,2018-08-16 15:58:00.205362
78,2018-08-16 15:58:00.255160,2018-08-16 15:58:00.301386
79,2018-08-16 15:58:00.352458,2018-08-16 15:58:00.397577
80,2018-08-16 15:58:00.443686,2018-08-16 15:58:00.489471
81,2018-08-16 15:58:00.538031,2018-08-16 15:58:00.586853
82,2018-08-16 15:58:00.632395,2018-08-16 15:58:00.678986
83,2018-08-16 15:58:00.724558,2018-08-16 15:58:00.771397
84,2018-08-16 15:58:00.800419,2018-08-16 15:58:02.523933
85,2018-08-16 15:58:02.541514,2018-08-16 15:58:02.588943
86,2018-08-16 15:58:02.635877,2018-08-16 15:58:02.683485
87,2018-08-16 15:58:02.729173,2018-08-16 15:58:02.775819
88,2018-08-16 15:58:02.822852,2018-08-16 15:58:02.872450
89,2018-08-16 15:58:02.917967,2018-08-16 15:58:02.962023
90,2018-08-16 15:58:03.012132,2018-08-16 15:58:03.064196
91,2018-08-16 15:58:03.112316,2018-08-16 15:58:03.159414
92,2018-08-16 15:58:03.205484,2018-08-16 15:58:03.252576
93,2018-08-16 15:58:03.300672,2018-08-16 15:58:03.351000
94,2018-08-16 15:58:03.397163,2018-08-16 15:58:03.447323
95,2018-08-16 15:58:03.496446,2018-08-16 15:58:03.546038
96,2018-08-16 15:58:03.595612,2018-08-16 15:58:03.641750
